id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2008-01-01,3227.52416667
NE,NORDESTE,2008-01-01,6217.02958333
S,SUL,2008-01-01,6066.02583333
SE,SUDESTE,2008-01-01,25701.70625000
N,NORTE,2008-01-02,3443.10083333
NE,NORDESTE,2008-01-02,7345.81750000
S,SUL,2008-01-02,8217.39416667
SE,SUDESTE,2008-01-02,31572.19666667
N,NORTE,2008-01-03,3497.67583333
NE,NORDESTE,2008-01-03,7639.86125000
S,SUL,2008-01-03,8791.75375000
SE,SUDESTE,2008-01-03,33063.43166667
N,NORTE,2008-01-04,3531.06500000
NE,NORDESTE,2008-01-04,7701.98916667
S,SUL,2008-01-04,8802.03250000
SE,SUDESTE,2008-01-04,33612.20666667
N,NORTE,2008-01-05,3436.60041667
NE,NORDESTE,2008-01-05,7356.12666667
S,SUL,2008-01-05,8056.29708333
SE,SUDESTE,2008-01-05,31355.08375000
N,NORTE,2008-01-06,3356.74125000
NE,NORDESTE,2008-01-06,6906.30458333
S,SUL,2008-01-06,6930.56416667
SE,SUDESTE,2008-01-06,27770.84625000
N,NORTE,2008-01-07,3553.93833333
NE,NORDESTE,2008-01-07,7770.00041667
S,SUL,2008-01-07,9086.43041667
SE,SUDESTE,2008-01-07,31804.04375000
N,NORTE,2008-01-08,3555.83083333
NE,NORDESTE,2008-01-08,7906.58083333
S,SUL,2008-01-08,9437.82500000
SE,SUDESTE,2008-01-08,32489.49000000
N,NORTE,2008-01-09,3567.92958333
NE,NORDESTE,2008-01-09,7795.50625000
S,SUL,2008-01-09,9535.76041667
SE,SUDESTE,2008-01-09,32624.14041667
N,NORTE,2008-01-10,3499.01541667
NE,NORDESTE,2008-01-10,7829.46041667
S,SUL,2008-01-10,9946.95541667
SE,SUDESTE,2008-01-10,33060.26166667
N,NORTE,2008-01-11,3522.07083333
NE,NORDESTE,2008-01-11,7865.74250000
S,SUL,2008-01-11,9684.09166667
SE,SUDESTE,2008-01-11,33658.00500000
N,NORTE,2008-01-12,3445.45875000
NE,NORDESTE,2008-01-12,7482.07958333
S,SUL,2008-01-12,8194.23208333
SE,SUDESTE,2008-01-12,31079.03958333
N,NORTE,2008-01-13,3318.33875000
NE,NORDESTE,2008-01-13,6817.00291667
S,SUL,2008-01-13,6997.82416667
SE,SUDESTE,2008-01-13,27604.28500000
N,NORTE,2008-01-14,3506.80250000
NE,NORDESTE,2008-01-14,7487.96500000
S,SUL,2008-01-14,9407.49125000
SE,SUDESTE,2008-01-14,32417.49916667
N,NORTE,2008-01-15,3443.89833333
NE,NORDESTE,2008-01-15,7595.09958333
S,SUL,2008-01-15,9897.25000000
SE,SUDESTE,2008-01-15,32785.27375000
N,NORTE,2008-01-16,3427.22375000
NE,NORDESTE,2008-01-16,7630.35416667
S,SUL,2008-01-16,9960.36541667
SE,SUDESTE,2008-01-16,32906.19791667
N,NORTE,2008-01-17,3486.78250000
NE,NORDESTE,2008-01-17,7649.94375000
S,SUL,2008-01-17,9751.89166667
SE,SUDESTE,2008-01-17,33382.81208333
N,NORTE,2008-01-18,3458.06791667
NE,NORDESTE,2008-01-18,7506.72416667
S,SUL,2008-01-18,9676.09833333
SE,SUDESTE,2008-01-18,33622.14958333
N,NORTE,2008-01-19,3364.53250000
NE,NORDESTE,2008-01-19,7203.04666667
S,SUL,2008-01-19,8231.71041667
SE,SUDESTE,2008-01-19,31277.20333333
N,NORTE,2008-01-20,3292.61166667
NE,NORDESTE,2008-01-20,6722.49416667
S,SUL,2008-01-20,6804.99000000
SE,SUDESTE,2008-01-20,27745.14833333
N,NORTE,2008-01-21,3505.12125000
NE,NORDESTE,2008-01-21,7655.79250000
S,SUL,2008-01-21,8777.69583333
SE,SUDESTE,2008-01-21,31527.10041667
N,NORTE,2008-01-22,3511.59500000
NE,NORDESTE,2008-01-22,7736.95708333
S,SUL,2008-01-22,9080.29583333
SE,SUDESTE,2008-01-22,31382.15458333
N,NORTE,2008-01-23,3492.33041667
NE,NORDESTE,2008-01-23,7598.40875000
S,SUL,2008-01-23,9183.03416667
SE,SUDESTE,2008-01-23,31295.72625000
N,NORTE,2008-01-24,3525.61458333
NE,NORDESTE,2008-01-24,7605.50583333
S,SUL,2008-01-24,9258.70958333
SE,SUDESTE,2008-01-24,31574.37208333
N,NORTE,2008-01-25,3551.48500000
NE,NORDESTE,2008-01-25,7667.85608333
S,SUL,2008-01-25,9411.35083333
SE,SUDESTE,2008-01-25,31217.66058333
N,NORTE,2008-01-26,3476.73291667
NE,NORDESTE,2008-01-26,7324.05750000
S,SUL,2008-01-26,8326.52750000
SE,SUDESTE,2008-01-26,29142.44916667
N,NORTE,2008-01-27,3338.38416667
NE,NORDESTE,2008-01-27,6764.00500000
S,SUL,2008-01-27,6958.96875000
SE,SUDESTE,2008-01-27,25925.25833333
N,NORTE,2008-01-28,3484.20583333
NE,NORDESTE,2008-01-28,7560.13791667
S,SUL,2008-01-28,9052.11083333
SE,SUDESTE,2008-01-28,30653.01875000
N,NORTE,2008-01-29,3555.17166667
NE,NORDESTE,2008-01-29,7742.11166667
S,SUL,2008-01-29,9387.49916667
SE,SUDESTE,2008-01-29,31630.50791667
N,NORTE,2008-01-30,3570.64541667
NE,NORDESTE,2008-01-30,7734.62000000
S,SUL,2008-01-30,9330.55333333
SE,SUDESTE,2008-01-30,31359.58416667
N,NORTE,2008-01-31,3554.21916667
NE,NORDESTE,2008-01-31,7544.90541667
S,SUL,2008-01-31,9146.25166667
SE,SUDESTE,2008-01-31,31676.14750000
N,NORTE,2008-02-01,3463.97416667
NE,NORDESTE,2008-02-01,7338.68125000
S,SUL,2008-02-01,9118.67333333
SE,SUDESTE,2008-02-01,31821.80166667
N,NORTE,2008-02-02,3420.89791667
NE,NORDESTE,2008-02-02,7028.36875000
S,SUL,2008-02-02,7949.36125000
SE,SUDESTE,2008-02-02,29326.56583333
N,NORTE,2008-02-03,3301.23212500
NE,NORDESTE,2008-02-03,6543.14783333
S,SUL,2008-02-03,6740.67625000
SE,SUDESTE,2008-02-03,26098.22545833
N,NORTE,2008-02-04,3380.09500000
NE,NORDESTE,2008-02-04,6630.71304167
S,SUL,2008-02-04,7932.09208333
SE,SUDESTE,2008-02-04,27417.00404167
N,NORTE,2008-02-05,3354.42541667
NE,NORDESTE,2008-02-05,6631.68458333
S,SUL,2008-02-05,8030.35791667
SE,SUDESTE,2008-02-05,26860.71166667
N,NORTE,2008-02-06,3477.35208333
NE,NORDESTE,2008-02-06,7172.56750000
S,SUL,2008-02-06,9233.86833333
SE,SUDESTE,2008-02-06,29716.51958333
N,NORTE,2008-02-07,3606.70708333
NE,NORDESTE,2008-02-07,7798.92000000
S,SUL,2008-02-07,9636.92375000
SE,SUDESTE,2008-02-07,31253.40541667
N,NORTE,2008-02-08,3591.50916667
NE,NORDESTE,2008-02-08,7872.18083333
S,SUL,2008-02-08,9760.26666667
SE,SUDESTE,2008-02-08,31818.43583333
N,NORTE,2008-02-09,3553.72583333
NE,NORDESTE,2008-02-09,7472.55416667
S,SUL,2008-02-09,8509.45041667
SE,SUDESTE,2008-02-09,29681.03083333
N,NORTE,2008-02-10,3424.18875000
NE,NORDESTE,2008-02-10,6884.85416667
S,SUL,2008-02-10,7133.14541667
SE,SUDESTE,2008-02-10,27288.75083333
N,NORTE,2008-02-11,3627.65791667
NE,NORDESTE,2008-02-11,7790.15166667
S,SUL,2008-02-11,9073.86791667
SE,SUDESTE,2008-02-11,32792.19250000
N,NORTE,2008-02-12,3588.17291667
NE,NORDESTE,2008-02-12,7888.71262500
S,SUL,2008-02-12,9247.45125000
SE,SUDESTE,2008-02-12,33891.42904167
N,NORTE,2008-02-13,3581.82250000
NE,NORDESTE,2008-02-13,7912.05750000
S,SUL,2008-02-13,9392.02791667
SE,SUDESTE,2008-02-13,34249.43125000
N,NORTE,2008-02-14,3607.72583333
NE,NORDESTE,2008-02-14,7917.29958333
S,SUL,2008-02-14,9663.17291667
SE,SUDESTE,2008-02-14,34437.34833333
N,NORTE,2008-02-15,3599.13916667
NE,NORDESTE,2008-02-15,7842.85333333
S,SUL,2008-02-15,9789.99250000
SE,SUDESTE,2008-02-15,34038.12333333
N,NORTE,2008-02-16,3460.81000000
NE,NORDESTE,2008-02-16,7410.93666667
S,SUL,2008-02-16,8549.59750000
SE,SUDESTE,2008-02-16,31155.37750000
